start = 1, end = 6
start = 7, end = 12
start = 13, end = 14
start = 15, end = 21
start = 101, end = 105
start = 201, end = 206
start = 207, end = 210
start = 301, end = 305
start = 401, end = 406
start = 407, end = 412
start = 413, end = 414
start = 415, end = 417
start = 501, end = 505
start = 517, end = 521
start = 601, end = 606
start = 607, end = 610
start = 701, end = 705
start = 801, end = 806
start = 807, end = 812
start = 813, end = 814
start = 815, end = 817
start = 901, end = 905
start = 1001, end = 1006
start = 1007, end = 1010
start = 1017, end = 1021
start = 1101, end = 1105
start = 1201, end = 1206
start = 1207, end = 1212
start = 1213, end = 1214
start = 1215, end = 1217
start = 1301, end = 1305
start = 1401, end = 1406
start = 1407, end = 1410
start = 1501, end = 1505
start = 1517, end = 1521
start = 1601, end = 1606
start = 1607, end = 1612
start = 1613, end = 1614
start = 1615, end = 1617
start = 1701, end = 1705
start = 1801, end = 1806
start = 1807, end = 1810
start = 1901, end = 1905
