stream ID: 4, initial production offset: 0
stream ID: 6, initial production offset: 2
stream ID: 17, initial production offset: 3
stream ID: 29, initial production offset: 5
stream ID: 19, initial production offset: 7
stream ID: 21, initial production offset: 8
stream ID: 28, initial production offset: 10
stream ID: 39, initial production offset: 12
stream ID: 35, initial production offset: 0
stream ID: 14, initial production offset: 2
stream ID: 5, initial production offset: 4
stream ID: 15, initial production offset: 6
stream ID: 7, initial production offset: 8
stream ID: 9, initial production offset: 10
stream ID: 18, initial production offset: 12
stream ID: 34, initial production offset: 0
stream ID: 33, initial production offset: 2
stream ID: 22, initial production offset: 4
stream ID: 38, initial production offset: 5
stream ID: 1, initial production offset: 6
stream ID: 11, initial production offset: 0
stream ID: 26, initial production offset: 2
stream ID: 23, initial production offset: 4
stream ID: 8, initial production offset: 5
stream ID: 13, initial production offset: 7
stream ID: 3, initial production offset: 0
stream ID: 10, initial production offset: 2
stream ID: 27, initial production offset: 3
stream ID: 31, initial production offset: 4
stream ID: 25, initial production offset: 6
stream ID: 2, initial production offset: 8
stream ID: 0, initial production offset: 0
stream ID: 16, initial production offset: 1
stream ID: 37, initial production offset: 2
stream ID: 12, initial production offset: 4
stream ID: 32, initial production offset: 6
stream ID: 24, initial production offset: 8
stream ID: 20, initial production offset: 10
stream ID: 36, initial production offset: 12
stream ID: 30, initial production offset: 13
