stream ID: 77, initial production offset: 0
stream ID: 4, initial production offset: 1
stream ID: 85, initial production offset: 3
stream ID: 6, initial production offset: 5
stream ID: 72, initial production offset: 6
stream ID: 17, initial production offset: 8
stream ID: 29, initial production offset: 10
stream ID: 66, initial production offset: 12
stream ID: 19, initial production offset: 13
stream ID: 74, initial production offset: 14
stream ID: 21, initial production offset: 16
stream ID: 28, initial production offset: 18
stream ID: 39, initial production offset: 20
stream ID: 35, initial production offset: 0
stream ID: 78, initial production offset: 2
stream ID: 79, initial production offset: 3
stream ID: 71, initial production offset: 4
stream ID: 92, initial production offset: 6
stream ID: 5, initial production offset: 8
stream ID: 14, initial production offset: 10
stream ID: 64, initial production offset: 12
stream ID: 94, initial production offset: 14
stream ID: 15, initial production offset: 16
stream ID: 7, initial production offset: 18
stream ID: 73, initial production offset: 20
stream ID: 83, initial production offset: 22
stream ID: 9, initial production offset: 24
stream ID: 18, initial production offset: 26
stream ID: 96, initial production offset: 28
stream ID: 81, initial production offset: 0
stream ID: 34, initial production offset: 2
stream ID: 60, initial production offset: 4
stream ID: 87, initial production offset: 5
stream ID: 33, initial production offset: 6
stream ID: 22, initial production offset: 8
stream ID: 38, initial production offset: 9
stream ID: 97, initial production offset: 10
stream ID: 1, initial production offset: 12
stream ID: 11, initial production offset: 0
stream ID: 80, initial production offset: 2
stream ID: 26, initial production offset: 4
stream ID: 63, initial production offset: 6
stream ID: 95, initial production offset: 7
stream ID: 23, initial production offset: 9
stream ID: 8, initial production offset: 10
stream ID: 13, initial production offset: 12
stream ID: 75, initial production offset: 14
stream ID: 82, initial production offset: 16
stream ID: 84, initial production offset: 18
stream ID: 89, initial production offset: 20
stream ID: 86, initial production offset: 0
stream ID: 93, initial production offset: 2
stream ID: 91, initial production offset: 4
stream ID: 3, initial production offset: 5
stream ID: 65, initial production offset: 7
stream ID: 10, initial production offset: 8
stream ID: 27, initial production offset: 9
stream ID: 31, initial production offset: 10
stream ID: 25, initial production offset: 12
stream ID: 70, initial production offset: 14
stream ID: 2, initial production offset: 16
stream ID: 0, initial production offset: 0
stream ID: 16, initial production offset: 1
stream ID: 37, initial production offset: 2
stream ID: 62, initial production offset: 4
stream ID: 12, initial production offset: 6
stream ID: 90, initial production offset: 8
stream ID: 32, initial production offset: 10
stream ID: 69, initial production offset: 12
stream ID: 24, initial production offset: 14
stream ID: 68, initial production offset: 16
stream ID: 76, initial production offset: 17
stream ID: 88, initial production offset: 18
stream ID: 99, initial production offset: 20
stream ID: 98, initial production offset: 22
stream ID: 36, initial production offset: 24
stream ID: 20, initial production offset: 25
stream ID: 61, initial production offset: 27
